Concept,Layer,Seed,Method,Train ACC,Test ACC
Vertical Line,Conv2,5,CAR,1.0,1.0
Vertical Line,Conv2,5,CAV,0.9975,0.99
Vertical Line,Lin1,5,CAR,1.0,1.0
Vertical Line,Lin1,5,CAV,0.9875,0.99
Vertical Line,Lin2,5,CAR,1.0,1.0
Vertical Line,Lin2,5,CAV,0.985,0.98
Vertical Line,Conv1,6,CAR,0.99,0.97
Vertical Line,Conv1,6,CAV,1.0,0.97
Vertical Line,Conv2,6,CAR,1.0,0.99
Vertical Line,Conv2,6,CAV,1.0,1.0
Vertical Line,Lin1,6,CAR,0.9975,0.99
Vertical Line,Lin1,6,CAV,0.9875,0.98
Vertical Line,Lin2,6,CAR,0.9975,0.99
Vertical Line,Lin2,6,CAV,0.9825,0.98
Vertical Line,Conv1,7,CAR,0.99,0.95
Vertical Line,Conv1,7,CAV,1.0,0.97
Vertical Line,Conv2,7,CAR,0.995,0.99
Vertical Line,Conv2,7,CAV,1.0,0.96
Vertical Line,Lin1,7,CAR,0.995,0.98
Vertical Line,Lin1,7,CAV,0.9825,0.96
Vertical Line,Lin2,7,CAR,0.995,0.98
Vertical Line,Lin2,7,CAV,0.9725,0.96
Vertical Line,Conv1,8,CAR,0.99,0.95
Vertical Line,Conv1,8,CAV,1.0,0.95
Vertical Line,Conv2,8,CAR,1.0,1.0
Vertical Line,Conv2,8,CAV,1.0,1.0
Vertical Line,Lin1,8,CAR,1.0,1.0
Vertical Line,Lin1,8,CAV,0.9925,0.95
Vertical Line,Lin2,8,CAR,1.0,1.0
Vertical Line,Lin2,8,CAV,0.9875,0.96
Vertical Line,Conv1,9,CAR,0.995,0.98
Vertical Line,Conv1,9,CAV,0.995,0.92
Vertical Line,Conv2,9,CAR,0.9975,0.99
Vertical Line,Conv2,9,CAV,1.0,0.99
Vertical Line,Lin1,9,CAR,0.9975,1.0
Vertical Line,Lin1,9,CAV,0.99,1.0
Vertical Line,Lin2,9,CAR,0.995,1.0
Vertical Line,Lin2,9,CAV,0.985,0.99
Vertical Line,Conv1,10,CAR,0.99,0.95
Vertical Line,Conv1,10,CAV,1.0,0.96
Vertical Line,Conv2,10,CAR,0.9975,0.98
Vertical Line,Conv2,10,CAV,1.0,0.98
