Concept,Layer,Seed,Method,Train ACC,Test ACC
Vertical Line,adaptive_pool,4,CAR,0.85,0.86
Vertical Line,adaptive_pool,4,CAV,0.775,0.8
Vertical Line,tqlayer_n,4,CAR,0.78,0.8
Vertical Line,tqlayer_n,4,CAV,0.725,0.73
Vertical Line,tqlayer_n_remain,4,CAR,0.825,0.86
Vertical Line,tqlayer_n_remain,4,CAV,0.77,0.78
Vertical Line,out,4,CAR,0.835,0.86
Vertical Line,out,4,CAV,0.7375,0.78
Vertical Line,adaptive_pool,5,CAR,0.8925,0.82
Vertical Line,adaptive_pool,5,CAV,0.77,0.79
Vertical Line,tqlayer_n,5,CAR,0.845,0.82
Vertical Line,tqlayer_n,5,CAV,0.7425,0.75
Vertical Line,tqlayer_n_remain,5,CAR,0.8525,0.84
Vertical Line,tqlayer_n_remain,5,CAV,0.795,0.8
Vertical Line,out,5,CAR,0.8675,0.83
Vertical Line,out,5,CAV,0.825,0.81
Vertical Line,adaptive_pool,6,CAR,0.84,0.86
Vertical Line,adaptive_pool,6,CAV,0.7575,0.83
Vertical Line,tqlayer_n,6,CAR,0.7875,0.86
Vertical Line,tqlayer_n,6,CAV,0.7325,0.75
Vertical Line,tqlayer_n_remain,6,CAR,0.8275,0.85
Vertical Line,tqlayer_n_remain,6,CAV,0.7275,0.72
Vertical Line,out,6,CAR,0.8325,0.86
Vertical Line,out,6,CAV,0.775,0.84
Vertical Line,adaptive_pool,7,CAR,0.89,0.84
Vertical Line,adaptive_pool,7,CAV,0.81,0.77
Vertical Line,tqlayer_n,7,CAR,0.8425,0.75
Vertical Line,tqlayer_n,7,CAV,0.7675,0.78
Vertical Line,tqlayer_n_remain,7,CAR,0.875,0.84
Vertical Line,tqlayer_n_remain,7,CAV,0.7925,0.75
Vertical Line,out,7,CAR,0.88,0.84
Vertical Line,out,7,CAV,0.82,0.78
Vertical Line,adaptive_pool,8,CAR,0.8675,0.87
Vertical Line,adaptive_pool,8,CAV,0.765,0.8
Vertical Line,tqlayer_n,8,CAR,0.8,0.8
Vertical Line,tqlayer_n,8,CAV,0.745,0.74
Vertical Line,tqlayer_n_remain,8,CAR,0.86,0.89
Vertical Line,tqlayer_n_remain,8,CAV,0.7925,0.79
Vertical Line,out,8,CAR,0.8625,0.9
Vertical Line,out,8,CAV,0.8125,0.85
Vertical Line,adaptive_pool,9,CAR,0.87,0.82
Vertical Line,adaptive_pool,9,CAV,0.7825,0.78
Vertical Line,tqlayer_n,9,CAR,0.79,0.78
Vertical Line,tqlayer_n,9,CAV,0.7475,0.75
Vertical Line,tqlayer_n_remain,9,CAR,0.8625,0.85
Vertical Line,tqlayer_n_remain,9,CAV,0.745,0.73
Vertical Line,out,9,CAR,0.8575,0.84
Vertical Line,out,9,CAV,0.82,0.84
Vertical Line,adaptive_pool,10,CAR,0.8475,0.76
Vertical Line,adaptive_pool,10,CAV,0.7775,0.76
Vertical Line,tqlayer_n,10,CAR,0.795,0.76
Vertical Line,tqlayer_n,10,CAV,0.69,0.69
Vertical Line,tqlayer_n_remain,10,CAR,0.8475,0.81
Vertical Line,tqlayer_n_remain,10,CAV,0.79,0.78
Vertical Line,out,10,CAR,0.855,0.81
Vertical Line,out,10,CAV,0.795,0.76
Horizontal Line,adaptive_pool,1,CAR,0.845,0.83
Horizontal Line,adaptive_pool,1,CAV,0.7325,0.67
Horizontal Line,tqlayer_n,1,CAR,0.78,0.77
Horizontal Line,tqlayer_n,1,CAV,0.6875,0.63
Horizontal Line,tqlayer_n_remain,1,CAR,0.7875,0.76
Horizontal Line,tqlayer_n_remain,1,CAV,0.6775,0.65
Horizontal Line,out,1,CAR,0.79,0.77
Horizontal Line,out,1,CAV,0.75,0.77
Horizontal Line,adaptive_pool,2,CAR,0.8625,0.77
Horizontal Line,adaptive_pool,2,CAV,0.7825,0.72
Horizontal Line,tqlayer_n,2,CAR,0.82,0.76
Horizontal Line,tqlayer_n,2,CAV,0.75,0.69
Horizontal Line,tqlayer_n_remain,2,CAR,0.8375,0.79
Horizontal Line,tqlayer_n_remain,2,CAV,0.745,0.75
Horizontal Line,out,2,CAR,0.845,0.78
Horizontal Line,out,2,CAV,0.755,0.74
Horizontal Line,adaptive_pool,3,CAR,0.865,0.72
Horizontal Line,adaptive_pool,3,CAV,0.765,0.71
Horizontal Line,tqlayer_n,3,CAR,0.7925,0.73
Horizontal Line,tqlayer_n,3,CAV,0.7,0.66
Horizontal Line,tqlayer_n_remain,3,CAR,0.785,0.73
Horizontal Line,tqlayer_n_remain,3,CAV,0.68,0.63
Horizontal Line,out,3,CAR,0.7925,0.72
Horizontal Line,out,3,CAV,0.735,0.74
Horizontal Line,adaptive_pool,4,CAR,0.8325,0.81
Horizontal Line,adaptive_pool,4,CAV,0.7275,0.73
Horizontal Line,tqlayer_n,4,CAR,0.79,0.77
Horizontal Line,tqlayer_n,4,CAV,0.6725,0.66
Horizontal Line,tqlayer_n_remain,4,CAR,0.815,0.79
Horizontal Line,tqlayer_n_remain,4,CAV,0.7125,0.73
Horizontal Line,out,4,CAR,0.825,0.79
Horizontal Line,out,4,CAV,0.7975,0.76
Horizontal Line,adaptive_pool,5,CAR,0.815,0.76
Horizontal Line,adaptive_pool,5,CAV,0.72,0.68
Horizontal Line,tqlayer_n,5,CAR,0.7575,0.66
Horizontal Line,tqlayer_n,5,CAV,0.7175,0.59
Horizontal Line,tqlayer_n_remain,5,CAR,0.765,0.69
Horizontal Line,tqlayer_n_remain,5,CAV,0.6675,0.59
Horizontal Line,out,5,CAR,0.7825,0.71
Horizontal Line,out,5,CAV,0.74,0.68
Horizontal Line,adaptive_pool,6,CAR,0.865,0.82
Horizontal Line,adaptive_pool,6,CAV,0.7325,0.75
Horizontal Line,tqlayer_n,6,CAR,0.775,0.75
Horizontal Line,tqlayer_n,6,CAV,0.6775,0.65
Horizontal Line,tqlayer_n_remain,6,CAR,0.8075,0.74
Horizontal Line,tqlayer_n_remain,6,CAV,0.675,0.73
