Age,PSA,Positive Cores,Examined Cores,Clinical Stage,Gleason Scores
0.06453986375491363,0.007473575183522875,0.012085023165482937,0.002984634994794249,0.06060281975407078,0.09260231307765027
0.002961543333387204,0.0029440168557992533,0.0005042686818207641,2.258308622232739e-05,0.0028648432434301334,0.0048800339896209214
0.0028261692135711468,0.0014886168221498889,0.007413884915711373,0.0008913376377191968,0.02227405543823816,0.03846724933548724
0.026089458573819713,0.005770100240416744,0.007298165076536843,0.034176192280041165,0.036700793855117236,0.061220754656826956
0.008132492155462355,0.002090202407885948,0.02288998664201849,0.005718996614584614,0.066149843589743,0.1079690401235579
0.04611967100245706,0.0027431102535468055,0.0038311479134310934,0.0016706670080470585,0.03570018917374993,0.052853802706662845
0.00753565184967604,0.006652647213562698,0.014429413283182677,0.00265583285125336,0.05580084241614307,0.0828809956191231
0.14152386458869262,0.008440420724922213,0.04121214729062494,0.02285664066043459,0.06075127193291643,0.09614207573502473
0.0008215773965280304,0.00011094179324295015,0.0001957879198150838,4.9770077540477e-06,0.001093778634949401,0.002314830605177797
1.2175235404043563e-05,1.7611068042002484e-06,0.0004008195658569816,4.377320603098647e-05,0.002197020319093687,0.0019815818089044764
0.0029686542729714443,0.0007162681473075375,0.0019721045462267827,0.0007646250598688854,0.0008660420683010635,0.004661184307749138
0.005012889025493193,0.004308350225110184,0.00394138385812609,0.0357459581106417,0.033577548419809894,0.0551209998710551
0.037441754425328405,0.008187256391105194,0.029793349664454433,0.0024659999901073767,0.05379259390218416,0.07752962035329242
0.004105557153768985,0.029876265729224055,0.0035816417846782664,0.00011185821615832602,0.014985657113402896,0.017524792484154172
0.0035136687852928544,5.548459700886275e-05,0.003623367320191875,0.00032723602206254017,0.005464124406734165,0.014463133791331325
0.009846634573798045,0.004161802252786284,0.005018109973229248,0.0006089898089164276,0.00860600703064199,0.022916981619862845
0.04209669113677442,0.012266982581087901,0.03253861663894418,0.0026786075808092613,0.08138795048923886,0.10402859438740172
0.0622529449256896,0.011497599261335641,0.021224544066321734,0.0025493409874143723,0.06526206629464715,0.10557848057366137
0.019529200176652158,0.002362494949042143,0.018785107110206905,0.042004224838152235,0.07385364319723778,0.10633080091944992
0.025072307138183352,0.009873744192333734,0.021009743980676742,0.0018559803302059738,0.033353505414201706,0.13427585067560222
0.0007378188316770575,0.0008141264199875072,0.003921488958281417,0.0024547275232071086,0.0023289875373569344,0.008304448974277933
6.621426545107217e-05,0.00034303348143080795,3.969091149712872e-05,2.7053220007401027e-05,0.0008456427031600271,0.0029838561758827545
