Concept,Layer,Seed,Method,Train ACC,Test ACC
Premature Ventricular,Lin,3,CAV,0.8575,0.86
Premature Ventricular,Conv1,4,CAR,0.8725,0.82
Premature Ventricular,Conv1,4,CAV,0.8925,0.85
Premature Ventricular,Conv2,4,CAR,0.9375,0.86
Premature Ventricular,Conv2,4,CAV,0.9425,0.86
Premature Ventricular,Conv3,4,CAR,0.9625,0.9
Premature Ventricular,Conv3,4,CAV,0.98,0.86
Premature Ventricular,Lin,4,CAR,0.95,0.91
Premature Ventricular,Lin,4,CAV,0.9175,0.86
Premature Ventricular,Conv1,5,CAR,0.9075,0.9
Premature Ventricular,Conv1,5,CAV,0.9075,0.79
Premature Ventricular,Conv2,5,CAR,0.9525,0.89
Premature Ventricular,Conv2,5,CAV,0.96,0.84
Premature Ventricular,Conv3,5,CAR,0.9725,0.88
Premature Ventricular,Conv3,5,CAV,1.0,0.89
Premature Ventricular,Lin,5,CAR,0.9425,0.92
Premature Ventricular,Lin,5,CAV,0.89,0.85
Premature Ventricular,Conv1,6,CAR,0.8575,0.79
Premature Ventricular,Conv1,6,CAV,0.86,0.75
Premature Ventricular,Conv2,6,CAR,0.925,0.85
Premature Ventricular,Conv2,6,CAV,0.94,0.84
Premature Ventricular,Conv3,6,CAR,0.9625,0.89
Premature Ventricular,Conv3,6,CAV,0.9925,0.83
Premature Ventricular,Lin,6,CAR,0.955,0.92
Premature Ventricular,Lin,6,CAV,0.885,0.84
Premature Ventricular,Conv1,7,CAR,0.885,0.81
Premature Ventricular,Conv1,7,CAV,0.92,0.79
Premature Ventricular,Conv2,7,CAR,0.95,0.83
Premature Ventricular,Conv2,7,CAV,0.9725,0.81
Premature Ventricular,Conv3,7,CAR,0.97,0.9
Premature Ventricular,Conv3,7,CAV,0.9825,0.83
Premature Ventricular,Lin,7,CAR,0.9575,0.9
Premature Ventricular,Lin,7,CAV,0.9175,0.87
Premature Ventricular,Conv1,8,CAR,0.8725,0.83
Premature Ventricular,Conv1,8,CAV,0.8875,0.85
Premature Ventricular,Conv2,8,CAR,0.935,0.88
Premature Ventricular,Conv2,8,CAV,0.97,0.91
Premature Ventricular,Conv3,8,CAR,0.96,0.9
Premature Ventricular,Conv3,8,CAV,0.985,0.92
Premature Ventricular,Lin,8,CAR,0.93,0.86
Premature Ventricular,Lin,8,CAV,0.8025,0.73
Premature Ventricular,Conv1,9,CAR,0.8775,0.82
Premature Ventricular,Conv1,9,CAV,0.9175,0.82
Premature Ventricular,Conv2,9,CAR,0.9325,0.86
Premature Ventricular,Conv2,9,CAV,0.9725,0.83
Premature Ventricular,Conv3,9,CAR,0.9625,0.89
Premature Ventricular,Conv3,9,CAV,0.9875,0.88
Premature Ventricular,Lin,9,CAR,0.945,0.87
Premature Ventricular,Lin,9,CAV,0.8075,0.76
Premature Ventricular,Conv1,10,CAR,0.8825,0.85
Premature Ventricular,Conv1,10,CAV,0.8675,0.87
Premature Ventricular,Conv2,10,CAR,0.9525,0.91
Premature Ventricular,Conv2,10,CAV,0.97,0.88
Premature Ventricular,Conv3,10,CAR,0.9775,0.93
Premature Ventricular,Conv3,10,CAV,1.0,0.9
Premature Ventricular,Lin,10,CAR,0.9525,0.91
Premature Ventricular,Lin,10,CAV,0.905,0.9
Fusion Beats,Conv1,1,CAR,0.925,0.94
Fusion Beats,Conv1,1,CAV,0.9525,0.93
Fusion Beats,Conv2,1,CAR,0.935,0.94
Fusion Beats,Conv2,1,CAV,0.9725,0.97
Fusion Beats,Conv3,1,CAR,0.955,0.98
Fusion Beats,Conv3,1,CAV,0.9875,0.92
Fusion Beats,Lin,1,CAR,0.9525,0.97
Fusion Beats,Lin,1,CAV,0.9275,0.95
Fusion Beats,Conv1,2,CAR,0.925,0.84
Fusion Beats,Conv1,2,CAV,0.925,0.84
Fusion Beats,Conv2,2,CAR,0.9475,0.87
Fusion Beats,Conv2,2,CAV,0.99,0.91
Fusion Beats,Conv3,2,CAR,0.955,0.89
Fusion Beats,Conv3,2,CAV,0.9975,0.88
Fusion Beats,Lin,2,CAR,0.955,0.87
Fusion Beats,Lin,2,CAV,0.9425,0.92
Fusion Beats,Conv1,3,CAR,0.9275,0.83
Fusion Beats,Conv1,3,CAV,0.94,0.85
Fusion Beats,Conv2,3,CAR,0.9425,0.81
Fusion Beats,Conv2,3,CAV,0.975,0.84
Fusion Beats,Conv3,3,CAR,0.9575,0.84
Fusion Beats,Conv3,3,CAV,1.0,0.89
Fusion Beats,Lin,3,CAR,0.965,0.88
Fusion Beats,Lin,3,CAV,0.9375,0.83
Fusion Beats,Conv1,4,CAR,0.9275,0.92
Fusion Beats,Conv1,4,CAV,0.935,0.95
Fusion Beats,Conv2,4,CAR,0.9425,0.94
Fusion Beats,Conv2,4,CAV,0.97,0.92
Fusion Beats,Conv3,4,CAR,0.955,0.95
Fusion Beats,Conv3,4,CAV,0.9725,0.93
Fusion Beats,Lin,4,CAR,0.95,0.97
Fusion Beats,Lin,4,CAV,0.9425,0.92
Fusion Beats,Conv1,5,CAR,0.925,0.91
Fusion Beats,Conv1,5,CAV,0.9425,0.92
Fusion Beats,Conv2,5,CAR,0.9525,0.92
Fusion Beats,Conv2,5,CAV,0.9825,0.94
Fusion Beats,Conv3,5,CAR,0.9575,0.94
Fusion Beats,Conv3,5,CAV,0.9925,0.97
Fusion Beats,Lin,5,CAR,0.9525,0.96
Fusion Beats,Lin,5,CAV,0.9075,0.91
Fusion Beats,Conv1,6,CAR,0.9,0.92
Fusion Beats,Conv1,6,CAV,0.905,0.91
Fusion Beats,Conv2,6,CAR,0.9325,0.95
Fusion Beats,Conv2,6,CAV,0.975,0.89
Fusion Beats,Conv3,6,CAR,0.955,0.96
