Set,Concept,Seed,Kernel,Accuracy
Validation,Vertical Line,4,Polynomial,0.83
Training,Vertical Line,4,Sigmoid,0.8225
Validation,Vertical Line,4,Sigmoid,0.81
Training,Vertical Line,4,Matern,0.8525
Validation,Vertical Line,4,Matern,0.84
Training,Vertical Line,5,Gaussian RBF,0.8275
Validation,Vertical Line,5,Gaussian RBF,0.82
Training,Vertical Line,5,Linear,0.8125
Validation,Vertical Line,5,Linear,0.82
Training,Vertical Line,5,Polynomial,0.835
Validation,Vertical Line,5,Polynomial,0.83
Training,Vertical Line,5,Sigmoid,0.76
Validation,Vertical Line,5,Sigmoid,0.81
Training,Vertical Line,5,Matern,0.8375
Validation,Vertical Line,5,Matern,0.83
Training,Vertical Line,6,Gaussian RBF,0.8275
Validation,Vertical Line,6,Gaussian RBF,0.8
Training,Vertical Line,6,Linear,0.825
Validation,Vertical Line,6,Linear,0.8
Training,Vertical Line,6,Polynomial,0.835
Validation,Vertical Line,6,Polynomial,0.8
Training,Vertical Line,6,Sigmoid,0.82
Validation,Vertical Line,6,Sigmoid,0.79
Training,Vertical Line,6,Matern,0.835
Validation,Vertical Line,6,Matern,0.81
Training,Vertical Line,7,Gaussian RBF,0.8375
Validation,Vertical Line,7,Gaussian RBF,0.8
Training,Vertical Line,7,Linear,0.83
Validation,Vertical Line,7,Linear,0.81
Training,Vertical Line,7,Polynomial,0.84
Validation,Vertical Line,7,Polynomial,0.81
Training,Vertical Line,7,Sigmoid,0.7875
Validation,Vertical Line,7,Sigmoid,0.8
Training,Vertical Line,7,Matern,0.8425
Validation,Vertical Line,7,Matern,0.8
Training,Vertical Line,8,Gaussian RBF,0.785
Validation,Vertical Line,8,Gaussian RBF,0.85
Training,Vertical Line,8,Linear,0.7725
Validation,Vertical Line,8,Linear,0.85
Training,Vertical Line,8,Polynomial,0.7925
Validation,Vertical Line,8,Polynomial,0.86
Training,Vertical Line,8,Sigmoid,0.755
Validation,Vertical Line,8,Sigmoid,0.83
Training,Vertical Line,8,Matern,0.8025
Validation,Vertical Line,8,Matern,0.86
Training,Vertical Line,9,Gaussian RBF,0.835
Validation,Vertical Line,9,Gaussian RBF,0.8
Training,Vertical Line,9,Linear,0.82
Validation,Vertical Line,9,Linear,0.8
Training,Vertical Line,9,Polynomial,0.8325
Validation,Vertical Line,9,Polynomial,0.81
Training,Vertical Line,9,Sigmoid,0.7875
Validation,Vertical Line,9,Sigmoid,0.81
Training,Vertical Line,9,Matern,0.84
Validation,Vertical Line,9,Matern,0.81
Training,Vertical Line,10,Gaussian RBF,0.85
Validation,Vertical Line,10,Gaussian RBF,0.87
